#   lattice symmetry parameter b = 0.8639 
#   V1/V0 =  1.500 
#   Lattice depths =    35.000  15.000  15.000
# 
#    k            band1                band2            band3 ...
   0.620    -6.0779298146e+01    -5.5862944601e+01    -3.8264503792e+01
   0.630    -6.0779291589e+01    -5.5862970572e+01    -3.8263404562e+01
   0.640    -6.0779285121e+01    -5.5862996193e+01    -3.8262319417e+01
   0.650    -6.0779278747e+01    -5.5863021438e+01    -3.8261249461e+01
   0.660    -6.0779272475e+01    -5.5863046282e+01    -3.8260195780e+01
   0.670    -6.0779266310e+01    -5.5863070700e+01    -3.8259159449e+01
   0.680    -6.0779260258e+01    -5.5863094668e+01    -3.8258141527e+01
   0.690    -6.0779254326e+01    -5.5863118164e+01    -3.8257143056e+01
   0.700    -6.0779248519e+01    -5.5863141163e+01    -3.8256165059e+01
   0.710    -6.0779242844e+01    -5.5863163642e+01    -3.8255208541e+01
   0.720    -6.0779237305e+01    -5.5863185580e+01    -3.8254274487e+01
   0.730    -6.0779231908e+01    -5.5863206956e+01    -3.8253363861e+01
   0.740    -6.0779226658e+01    -5.5863227747e+01    -3.8252477601e+01
   0.750    -6.0779221561e+01    -5.5863247934e+01    -3.8251616627e+01
   0.760    -6.0779216622e+01    -5.5863267496e+01    -3.8250781831e+01
   0.770    -6.0779211845e+01    -5.5863286414e+01    -3.8249974078e+01
   0.780    -6.0779207235e+01    -5.5863304670e+01    -3.8249194210e+01
   0.790    -6.0779202797e+01    -5.5863322246e+01    -3.8248443038e+01
   0.800    -6.0779198536e+01    -5.5863339123e+01    -3.8247721346e+01
   0.810    -6.0779194454e+01    -5.5863355286e+01    -3.8247029888e+01
   0.820    -6.0779190558e+01    -5.5863370719e+01    -3.8246369388e+01
   0.830    -6.0779186849e+01    -5.5863385406e+01    -3.8245740536e+01
   0.840    -6.0779183332e+01    -5.5863399333e+01    -3.8245143993e+01
   0.850    -6.0779180011e+01    -5.5863412486e+01    -3.8244580385e+01
   0.860    -6.0779176888e+01    -5.5863424853e+01    -3.8244050304e+01
   0.870    -6.0779173967e+01    -5.5863436420e+01    -3.8243554308e+01
   0.880    -6.0779171251e+01    -5.5863447177e+01    -3.8243092919e+01
   0.890    -6.0779168742e+01    -5.5863457113e+01    -3.8242666624e+01
   0.900    -6.0779166443e+01    -5.5863466218e+01    -3.8242275873e+01
   0.910    -6.0779164356e+01    -5.5863474483e+01    -3.8241921079e+01
   0.920    -6.0779162483e+01    -5.5863481900e+01    -3.8241602615e+01
   0.930    -6.0779160826e+01    -5.5863488462e+01    -3.8241320820e+01
   0.940    -6.0779159386e+01    -5.5863494162e+01    -3.8241075991e+01
   0.950    -6.0779158166e+01    -5.5863498995e+01    -3.8240868387e+01
   0.960    -6.0779157166e+01    -5.5863502956e+01    -3.8240698229e+01
   0.970    -6.0779156387e+01    -5.5863506040e+01    -3.8240565696e+01
   0.980    -6.0779155830e+01    -5.5863508245e+01    -3.8240470930e+01
   0.990    -6.0779155496e+01    -5.5863509570e+01    -3.8240414029e+01
   1.000    -6.0779155384e+01    -5.5863510011e+01    -3.8240395056e+01
